anio_mat,entidad_id,ent_regis,municipio_id,mun_regis,tipo_div,causa,hijos,custodia,pension,edad_mdiv1,escol_div1,con_acdiv1,sexo_div1,edad_mdiv2,escol_div2,con_acdiv2,sexo_div2
2015,5,Coahuila de Zaragoza,18,San José de Gracia,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,19,No especificada,No especificada,Mujer,22,No especificada,No especificada,Hombre
2015,5,Coahuila de Zaragoza,25,Playas de Rosarito,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,18,No especificada,No especificada,Mujer,17,No especificada,No especificada,Hombre
2015,5,Coahuila de Zaragoza,18,San José de Gracia,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,29,No especificada,No especificada,Hombre,18,No especificada,No especificada,Mujer
2015,5,Coahuila de Zaragoza,25,Playas de Rosarito,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,28,No especificada,Trabaja,Hombre,19,No especificada,No especificada,Mujer
2015,5,Coahuila de Zaragoza,25,Playas de Rosarito,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,No especificada,No especificada,Mujer,18,No especificada,No especificada,Hombre
2015,5,Coahuila de Zaragoza,18,San José de Gracia,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,19,No especificada,No especificada,Mujer,29,No especificada,No especificada,Hombre
2015,5,Coahuila de Zaragoza,33,La Paz,Judicial,Voluntario unilateral,2,Divorciante 1,Hijos,21,No especificada,Trabaja,Hombre,19,No especificada,No especificada,Mujer
2015,5,Coahuila de Zaragoza,25,Playas de Rosarito,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,No especificada,No especificada,Hombre,18,No especificada,No especificada,Mujer
2015,5,Coahuila de Zaragoza,25,Playas de Rosarito,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,22,No especificada,Trabaja,Hombre,19,No especificada,Trabaja,Mujer
2015,8,Chihuahua,21,Ensenada,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Secundaria o equivalente,Trabaja,Mujer,22,Secundaria o equivalente,Trabaja,Hombre
2015,8,Chihuahua,21,Ensenada,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Preparatoria o equivalente,Trabaja,Mujer,22,Secundaria o equivalente,Trabaja,Hombre
2015,8,Chihuahua,21,Ensenada,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Secundaria o equivalente,Trabaja,Mujer,23,Secundaria o equivalente,Trabaja,Hombre
2015,8,Chihuahua,21,Ensenada,Judicial,Incompatibilidad de caracteres,1,Divorciante 2,Hijos,19,Preparatoria o equivalente,No trabaja,Mujer,99,No especificada,No especificada,Hombre
2015,9,Ciudad de México,15,Jesús María,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,20,Secundaria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,Trabaja,Mujer
2015,9,Ciudad de México,15,Jesús María,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,27,Preparatoria o equivalente,Trabaja,Hombre,18,Preparatoria o equivalente,Trabaja,Mujer
