CLAVE,NOMBRE
P000,Feto y recién nacido afectados por trastornos hipertensivos de la madre
P001,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre
P002,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre
P003,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre
P004,Feto y recién nacido afectados por trastornos nutricionales de la madre
P005,Feto y recién nacido afectados por traumatismo de la madre
P007,"Feto y recién nacido afectados por otro procedimiento médico en la madre, no clasificado en otra parte"
P008,Feto y recién nacido afectados por otras afecciones maternas
P009,Feto y recién nacido afectados por afección materna no especificada
P010,Feto y recién nacido afectados por incompetencia del cuello uterino
P011,Feto y recién nacido afectados por ruptura prematura de las membranas
P012,Feto y recién nacido afectados por oligohidramnios
P013,Feto y recién nacido afectados por polihidramnios
P014,Feto y recién nacido afectados por embarazo ectópico
P015,Feto y recién nacido afectados por embarazo múltiple
P016,Feto y recién nacido afectados por muerte materna
P017,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto
P018,Feto y recién nacido afectados por otras complicaciones maternas del embarazo
P019,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo
P020,Feto y recién nacido afectados por placenta previa
P021,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios
P022,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas
P023,Feto y recién nacido afectados por síndromes de transfusión placentaria
P024,Feto y recién nacido afectados por prolapso del cordón umbilical
P025,Feto y recién nacido afectados por otra compresión del cordón umbilical
P026,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas
P027,Feto y recién nacido afectados por corioamnionitis
P028,Feto y recién nacido afectados por otras anormalidades de las membranas
P029,Feto y recién nacido afectados por anormalidad no especificada de las membranas
P030,Feto y recién nacido afectados por parto y extracción de nalgas
P031,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto"
P032,Feto y recién nacido afectados por parto con fórceps
P034,Feto y recién nacido afectados por parto por cesárea
P035,Feto y recién nacido afectados por parto precipitado
P036,Feto y recién nacido afectados por contracciones uterinas anormales
P038,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto
P039,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto
P041,Feto y recién nacido afectados por otras medicaciones maternas
P044,Feto y recién nacido afectados por drogadicción materna
P048,Feto y recién nacido afectados por otras influencias nocivas de la madre
P049,"Feto y recién nacido afectados por influencias nocivas de la madre, no especificadas"
P050,Bajo peso para la edad gestacional
