ocu_part,eda_madr,ocurrencias
Antes del parto,10,1
Antes del parto,11,4
Antes del parto,12,18
Antes del parto,13,119
Antes del parto,14,482
Antes del parto,15,1247
Antes del parto,16,2133
Antes del parto,17,3058
Antes del parto,18,3762
Antes del parto,19,4403
Durante el parto,11,1
Durante el parto,12,6
Durante el parto,13,29
Durante el parto,14,109
Durante el parto,15,243
Durante el parto,16,444
Durante el parto,17,624
Durante el parto,18,681
Durante el parto,19,758
No especificado,13,5
No especificado,14,9
No especificado,15,33
No especificado,16,44
No especificado,17,45
No especificado,18,53
No especificado,19,76
