anio_ocur,eda_madr,Cantidad de ocurrencias
2015,11,2
2015,12,1
2015,13,13
2015,14,76
2015,15,201
2015,16,355
2015,17,479
2015,18,545
2015,19,713
2016,12,2
2016,13,14
2016,14,70
2016,15,183
2016,16,342
2016,17,477
2016,18,553
2016,19,632
2017,10,1
2017,12,3
2017,13,25
2017,14,69
2017,15,218
2017,16,353
2017,17,466
2017,18,572
2017,19,660
2018,13,16
2018,14,56
2018,15,171
2018,16,279
2018,17,461
2018,18,537
2018,19,591
2019,12,6
2019,13,23
2019,14,74
2019,15,202
2019,16,360
2019,17,475
2019,18,596
2019,19,707
2020,11,2
2020,12,3
2020,13,16
2020,14,68
2020,15,175
2020,16,312
2020,17,444
2020,18,562
2020,19,639
2021,12,6
2021,13,26
2021,14,79
2021,15,177
2021,16,315
2021,17,498
2021,18,581
2021,19,646
2022,11,1
2022,12,3
2022,13,20
2022,14,108
2022,15,196
2022,16,305
2022,17,427
2022,18,550
2022,19,649
