Causa de defunción,Cantidad
Otras afecciones especificadas originadas en el período perinatal,5839
Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,2004
Feto y recién nacido afectados por ruptura prematura de las membranas,1018
Bajo peso para la edad gestacional,1018
Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,883
Feto y recién nacido afectados por otra compresión del cordón umbilical,760
Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,624
Feto y recién nacido afectados por otras complicaciones maternas del embarazo,558
Muerte fetal de causa no especificada,529
Pequeño para la edad gestacional,410
