eda_madr,causa_def,ocurrencias
10,"Malformación congénita del encéfalo, no especificada",1
11,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,1
11,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,1
11,"Malformaciones congénitas múltiples, no clasificadas en otra parte",1
11,Otras afecciones especificadas originadas en el período perinatal,2
12,Bajo peso para la edad gestacional,1
12,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,1
12,Feto y recién nacido afectados por incompetencia del cuello uterino,1
12,Feto y recién nacido afectados por otra compresión del cordón umbilical,1
12,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,1
12,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,2
12,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,3
12,Feto y recién nacido afectados por prolapso del cordón umbilical,1
12,Feto y recién nacido afectados por ruptura prematura de las membranas,1
12,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,1
12,"Malformación congénita del pulmón, no especificada",1
12,Otras afecciones especificadas originadas en el período perinatal,10
13,Anencefalia,5
13,Bajo peso para la edad gestacional,6
13,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",6
13,Feto y recién nacido afectados por afección materna no especificada,1
13,Feto y recién nacido afectados por anormalidad no especificada de las membranas,1
13,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,1
13,Feto y recién nacido afectados por corioamnionitis,1
13,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,1
13,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,1
13,Feto y recién nacido afectados por incompetencia del cuello uterino,1
13,Feto y recién nacido afectados por oligohidramnios,1
13,Feto y recién nacido afectados por otra compresión del cordón umbilical,6
13,Feto y recién nacido afectados por otras afecciones maternas,1
13,Feto y recién nacido afectados por otras anormalidades de las membranas,1
13,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,11
13,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,1
13,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,4
13,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,1
13,Feto y recién nacido afectados por placenta previa,1
13,Feto y recién nacido afectados por polihidramnios,2
13,Feto y recién nacido afectados por prolapso del cordón umbilical,1
13,Feto y recién nacido afectados por ruptura prematura de las membranas,4
13,Feto y recién nacido afectados por trastornos hipertensivos de la madre,1
13,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,8
13,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,2
13,"Hipoxia intrauterina, no especificada",2
13,"Malformaciones congénitas múltiples, no clasificadas en otra parte",1
13,"Malformación congénita, no especificada",1
13,Muerte fetal de causa no especificada,10
13,Otras afecciones especificadas originadas en el período perinatal,66
13,Pequeño para la edad gestacional,2
13,Quistes cerebrales congénitos,1
13,"Retardo del crecimiento fetal, no especificado",1
14,Anencefalia,6
14,"Anomalía cromosómica, no especificada",1
14,Atresia de los agujeros de Magendie y de Luschka,1
14,Bajo peso para la edad gestacional,31
14,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",6
14,"Encefalocele, no especificado",1
14,"Espina bífida, no especificada",1
14,Feto y recién nacido afectados por afección materna no especificada,1
14,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,1
14,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,2
14,Feto y recién nacido afectados por corioamnionitis,2
14,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,1
14,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,9
14,Feto y recién nacido afectados por incompetencia del cuello uterino,9
14,Feto y recién nacido afectados por oligohidramnios,9
14,Feto y recién nacido afectados por otra compresión del cordón umbilical,18
14,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",1
14,Feto y recién nacido afectados por otras afecciones maternas,10
14,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,65
14,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,3
14,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,9
14,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,9
14,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre,2
14,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,21
14,Feto y recién nacido afectados por parto y extracción de nalgas,1
14,Feto y recién nacido afectados por placenta previa,2
14,Feto y recién nacido afectados por polihidramnios,5
