eda_madr,emba_fue,ocurrencias
10,Normal,1
11,Complicado,2
11,Normal,3
12,Complicado,5
12,No especificado,2
12,Normal,17
13,Complicado,44
13,No especificado,13
13,Normal,96
14,Complicado,160
14,No especificado,32
14,Normal,408
15,Complicado,401
15,No especificado,83
15,Normal,1039
16,Complicado,699
16,No especificado,135
16,Normal,1787
17,Complicado,965
17,No especificado,190
17,Normal,2572
18,Complicado,1109
18,No especificado,236
18,Normal,3151
19,Complicado,1419
19,No especificado,239
19,Normal,3579
