anio_ocur,edad,Cantidad de ocurrencias
2015,12,1
2015,13,1
2015,14,4
2015,15,14
2015,16,32
2015,17,38
2015,18,38
2015,19,41
2016,10,2
2016,11,1
2016,12,2
2016,14,2
2016,15,16
2016,16,29
2016,17,41
2016,18,50
2016,19,38
2017,11,1
2017,12,2
2017,13,2
2017,14,6
2017,15,17
2017,16,31
2017,17,42
2017,18,38
2017,19,49
2018,13,1
2018,14,5
2018,15,18
2018,16,32
2018,17,29
2018,18,43
2018,19,44
2019,12,1
2019,14,6
2019,15,10
2019,16,19
2019,17,32
2019,18,36
2019,19,46
2020,12,3
2020,13,1
2020,14,7
2020,15,10
2020,16,25
2020,17,30
2020,18,42
2020,19,57
2021,11,2
2021,12,2
2021,13,4
2021,14,4
2021,15,15
2021,16,27
2021,17,33
2021,18,37
2021,19,50
2022,10,1
2022,11,2
2022,12,5
2022,13,7
2022,14,8
2022,15,10
2022,16,29
2022,17,33
2022,18,37
2022,19,53
