causa_def,total
Eclampsia en el embarazo,80
Muerte por causa obstétrica indirecta que ocurre después de 42 días pero antes de un año del parto,70
"Otras enfermedades especificadas y afecciones que complican el embarazo, el parto y el puerperio",64
"Otras enfermedades virales que complican el embarazo, el parto y el puerperio",52
Muerte por causa obstétrica directa que ocurre después de 42 días pero antes de un año del parto,46
"Enfermedades del sistema circulatorio que complican el embarazo, el parto y el puerperio",41
Otras hemorragias postparto inmediatas,33
Síndrome HELLP,31
"Enfermedades del sistema digestivo que complican el embarazo, el parto y el puerperio",30
"Enfermedades del sistema respiratorio que complican el embarazo, el parto y el puerperio",28
